state,year,yearly_avg_rent
NH,2019,1270.05
NH,2020,1357.95
NH,2021,1500.37
NH,2022,1644.49
NH,2023,1759.88
NH,2024,1860.00
NH,2025,1940.25
NJ,2015,1281.93
NJ,2016,1313.89
NJ,2017,1343.67
NJ,2018,1388.76
NJ,2019,1429.24
NJ,2020,1491.61
NJ,2021,1655.84
NJ,2022,1894.30
NJ,2023,1990.68
NJ,2024,2002.57
NJ,2025,2032.08
NM,2015,856.39
NM,2016,933.09
NM,2017,988.33
NM,2018,1033.64
NM,2019,1102.46
NM,2020,1156.42
NM,2021,1292.95
NM,2022,1339.18
NM,2023,1321.54
NM,2024,1555.09
NM,2025,1677.07
NV,2015,1013.58
NV,2016,1076.86
NV,2017,1161.89
NV,2018,1265.86
NV,2019,1343.68
NV,2020,1401.51
NV,2021,1553.15
NV,2022,1668.59
NV,2023,1754.39
NV,2024,1783.76
NV,2025,1783.17
NY,2015,1255.83
NY,2016,1221.12
NY,2017,1256.83
NY,2018,1258.71
NY,2019,1335.48
NY,2020,1374.00
NY,2021,1475.34
NY,2022,1618.07
NY,2023,1662.95
NY,2024,1677.47
NY,2025,1623.57
OH,2015,767.94
OH,2016,787.27
OH,2017,808.42
OH,2018,830.88
OH,2019,859.05
OH,2020,897.82
OH,2021,968.51
OH,2022,1032.44
OH,2023,1056.77
OH,2024,1105.23
OH,2025,1152.28
OK,2015,824.47
OK,2016,831.53
OK,2017,841.43
OK,2018,859.72
OK,2019,883.39
OK,2020,926.13
OK,2021,1019.48
OK,2022,1077.49
OK,2023,1056.73
OK,2024,1130.92
OK,2025,1147.43
OR,2015,1058.71
OR,2016,1145.00
OR,2017,1217.18
OR,2018,1272.09
OR,2019,1331.58
OR,2020,1392.47
OR,2021,1517.61
OR,2022,1641.76
OR,2023,1604.27
OR,2024,1644.29
OR,2025,1677.91
PA,2015,899.68
PA,2016,907.48
PA,2017,927.94
PA,2018,938.98
PA,2019,992.38
PA,2020,1039.27
PA,2021,1120.59
PA,2022,1207.94
PA,2023,1209.29
PA,2024,1231.41
PA,2025,1258.10
RI,2015,1114.10
RI,2016,1171.10
RI,2017,1230.71
RI,2018,1303.05
RI,2019,1370.61
RI,2020,1446.68
RI,2021,1607.12
RI,2022,1795.59
RI,2023,1927.36
RI,2024,2050.77
RI,2025,2153.26
SC,2015,996.35
SC,2016,1010.05
SC,2017,1054.88
SC,2018,1102.27
SC,2019,1119.16
SC,2020,1154.31
SC,2021,1275.99
SC,2022,1446.90
SC,2023,1507.49
SC,2024,1468.38
SC,2025,1525.56
SD,2016,861.87
SD,2017,894.97
SD,2018,920.38
SD,2019,935.74
SD,2020,967.92
SD,2021,1059.54
SD,2022,1195.47
SD,2023,1173.11
SD,2024,1225.85
SD,2025,1259.85
TN,2015,923.98
TN,2016,934.98
TN,2017,958.64
TN,2018,996.18
TN,2019,1044.13
TN,2020,1097.64
TN,2021,1209.20
TN,2022,1307.55
TN,2023,1372.22
TN,2024,1414.11
TN,2025,1462.71
TX,2015,971.74
TX,2016,995.07
TX,2017,1023.47
TX,2018,1076.05
TX,2019,1114.76
TX,2020,1128.88
TX,2021,1203.66
TX,2022,1308.07
TX,2023,1349.11
TX,2024,1358.81
TX,2025,1390.26
UT,2015,996.16
UT,2016,1054.74
UT,2017,1122.62
UT,2018,1189.38
UT,2019,1426.25
UT,2020,1511.93
UT,2021,1741.91
UT,2022,1796.15
UT,2023,1821.20
UT,2024,1857.32
UT,2025,1830.97
VA,2015,1075.27
VA,2016,1104.86
VA,2017,1142.63
VA,2018,1149.72
VA,2019,1183.36
VA,2020,1233.12
VA,2021,1332.49
VA,2022,1476.94
VA,2023,1500.19
VA,2024,1511.48
VA,2025,1560.60
VT,2016,1644.93
VT,2017,1716.74
VT,2018,1774.79
VT,2019,1817.07
VT,2020,1870.69
VT,2021,1996.01
VT,2022,2228.59
VT,2023,2396.75
VT,2024,2109.40
VT,2025,1806.18
WA,2015,1073.37
WA,2016,1121.69
WA,2017,1212.47
WA,2018,1295.27
WA,2019,1366.98
WA,2020,1437.46
WA,2021,1592.01
WA,2022,1599.91
WA,2023,1621.65
WA,2024,1679.36
WA,2025,1729.81
WI,2015,1052.87
WI,2016,1059.07
WI,2017,967.72
WI,2018,990.29
WI,2019,1004.89
WI,2020,1050.50
WI,2021,1068.36
WI,2022,1071.69
WI,2023,1134.80
WI,2024,1171.95
WI,2025,1208.70
WV,2016,998.49
WV,2017,927.71
WV,2018,948.82
WV,2019,957.39
WV,2020,985.17
WV,2021,993.66
WV,2022,1016.32
WV,2023,1005.66
WV,2024,1013.05
WV,2025,1067.43
WY,2015,886.12
WY,2016,934.05
WY,2017,916.98
WY,2018,932.45
WY,2019,977.49
WY,2020,977.51
WY,2021,1009.85
WY,2022,1093.62
WY,2023,1177.57
WY,2024,1458.33
WY,2025,1566.47
